site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,notesEnc,timeEnc
LANDCELVA1,2010-06-04,NA,Band,SOSP,2441-14076,"PK,R/A",AHY,M,NA,NA,20,63,NA,21.25,"yearColumn = 2010, banded 6/4/10 -",NA
LANDCELVA1,2010-06-04,NA,Band,CACH,2590-82475,"R/A,P",AHY,M,NA,NA,9.7,62,NA,16.03,"yearColumn = 2010, banded 6/4/10 -",NA
LANDCELVA1,2012-05-04,NA,Band,GRCA,791-17233,"W/A,BU",AHY,M,NA,NA,38.8,91,NA,27.55,"yearColumn = 2012, Captured 5/4/2012 -",NA
LANDCELVA1,2012-05-04,NA,Band,SOSP,2441-96447,"Y,A/G",AHY,M,NA,NA,22.4,70,NA,21.41,"yearColumn = 2012, Capture 5/4/12. -",NA
LANDCELVA1,2012-05-04,NA,Band,SOSP,2441-96448,"O/BU,A",AHY,M,NA,NA,20.6,64,NA,21.21,"yearColumn = 2012, captured 5/4/2012 -",NA
LANDCELVA1,2012-05-04,NA,Band,CACH,2590-83189,"A,BK/O",HY,U,NA,NA,10.2,61,NA,16.69,"yearColumn = 2012, Capture 5/4/2012. -",NA
LANDCELVA1,2012-05-04,NA,Recap,GRCA,2411-37351,"PK/O,A",ASY,M,NA,NA,34.8,NA,NA,NA,"yearColumn = 2009, Banded 6/20/2009; yearColumn = 2012, Recaptured 5/4/2012. -",NA
LANDCELVA1,2013-06-29,NA,Band,SOSP,2571-90121,"Y/A,R",SY,M,NA,NA,22.1,64,NA,21.97,"yearColumn = 2013, 6/29/2013 -",NA
LANDCELVA1,2013-06-29,NA,Band,SOSP,2571-90122,"G/A,O",HY,U,NA,NA,18.1,62.5,NA,21.8,"yearColumn = 2013, 6/29/2013 -",NA
LANDCELVA1,2013-06-29,NA,Band,GRCA,2561-56844,"A/G,BK",HY,U,NA,NA,35.3,85,NA,27.76,"yearColumn = 2013, Banded 6/29/2013 -",NA
LANDCELVA1,2014-07-10,NA,Band,CARW,2441-13875,"R,A/O",AHY,U,NA,NA,19.3,NA,49,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,CACH,2710-53965,"G,A/BU",AHY,U,NA,NA,9.7,NA,54,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,HOWR,2710-53966,"A,W/R",AHY,M,NA,NA,10.3,NA,41,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,GRCA,2641-63853,"R/A,R",SY,U,NA,NA,34.7,NA,96,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,GRCA,2641-63854,"G/A,P",AHY,F,NA,NA,36,NA,91,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,GRCA,2641-63855,"Y/A,G",AHY,M,NA,NA,35.8,NA,97,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,GRCA,2641-63856,"A/W,R",AHY,F,NA,NA,34.7,NA,93,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,GRCA,2641-63857,"O/BK,A",AHY,F,NA,NA,34.1,NA,85,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,CACH,2710-53967,"A,P/W",AHY,F,NA,NA,9,NA,48,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,HOWR,2710-53969,"O,A/BK",HY,U,NA,NA,11.8,NA,42,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,GRCA,2641-63858,"A,BU/P",AHY,F,NA,NA,37.7,NA,89,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,AMRO,1292-64554,"PK/A,R",SY,M,NA,NA,72.1,NA,95,NA,"yearColumn = 2014, banded July 10 -",NA
LANDCELVA1,2014-07-10,NA,Band,SOSP,2441-13876,"BU/W,A",AHY,M,NA,NA,20.5,NA,69,NA,"yearColumn = 2014, banded July 10; yearColumn = 2015, Recaptured on 6/20/15 by DME -",NA
LANDCELVA1,2014-07-10,NA,Band,HOWR,2710-53968,"G,R/A",HY,U,NA,NA,11,NA,43,NA,"yearColumn = 2014, banded July 10; yearColumn = 2015, Recaptured on 6/20/15 by DME -",NA
LANDCELVA1,2015-06-20,NA,Band,CARW,2661-31568,"W/A,G",HY,U,NA,NA,19.5,61,NA,NA,"yearColumn = 2015, Banded on 6/20/15 by DME -",NA
LANDCELVA1,2015-06-20,NA,Band,CARW,2661-31569,"W/A,Y",AHY,M,NA,NA,18.5,60,NA,21.81,"yearColumn = 2015, Banded on 6/20/15 by DME -",NA
LANDCELVA1,2015-06-20,NA,Band,GRCA,2651-47526,"A/BK,PU",ASY,F,NA,NA,41.4,87,NA,27.12,"yearColumn = 2015, Banded on 6/20/15 by DME -",NA
LANDCELVA1,2015-06-20,NA,Band,SOSP,2661-31570,"BK/A,Y",HY,U,NA,NA,21,66,NA,21.72,"yearColumn = 2015, Banded 6/20/15 by DME -",NA
LANDCELVA1,2015-06-20,NA,Band,CARW,2661-31571,"W,BK/A",AHY,F,NA,NA,19,57,NA,20.63,"yearColumn = 2015, Banded 6/20/15 by DME -",NA
LANDCELVA1,2015-06-20,NA,Recap,SOSP,2441-13876,"BU/W,A",AHY,M,NA,NA,20.2,NA,NA,NA,"yearColumn = 2014, banded July 10; yearColumn = 2015, Recaptured on 6/20/15 by DME -",NA
LANDCELVA1,2015-06-20,NA,Recap,HOWR,2710-53968,"G,R/A",HY,U,NA,NA,10.6,NA,NA,NA,"yearColumn = 2014, banded July 10; yearColumn = 2015, Recaptured on 6/20/15 by DME -",NA
LANDCELVA1,2016-07-09,KPK,Recap,CARW,2661-31569,"W/A,Y",ASY,M,CP-,1,18.8,59,44,NA,Tail feather taken,08:05
LANDCELVA1,2016-07-09,KPK,Band,HOWR,2750-41535,"Y/P,A",AHY,M,CP-,0,11.5,49,43,NA,Tail feather taken,08:41
LANDCELVA1,2016-07-09,KPK,Band,AMRO,1352-46143,"Y/G,A",ASY,M,CP,0,68.3,126,97,NA,Tail feather taken; Old leg injury. ,09:03
LANDCELVA1,2016-07-09,KPK,Band,GRCA,2641-96977,"BU,A/PK",AHY,M,CP,0,34.4,89,95,NA,Tail feather taken,10:46
MORRCHRVA1,2008-06-16,NA,Band,GRCA,2301-56049,"A/R,PK",AHY,M,NA,NA,28.8,90,NA,31.55,"yearColumn = 2008, banded_6/16 -",NA
MORRCHRVA1,2008-06-16,NA,Band,NOCA,2301-56048,"BU,BU/A",AHY,M,NA,NA,36.2,92,NA,27.72,"yearColumn = 2008, banded_6/16; yearColumn = 2009, recapture 5 jul; yearColumn = 2012, resighted by participant 5/3/2012 -",NA
MORRCHRVA1,2009-07-05,NA,Recap,NOCA,2301-56048,"BU,BU/A",AHY,M,NA,NA,44.4,NA,NA,NA,"yearColumn = 2008, banded_6/16; yearColumn = 2009, recapture 5 jul; yearColumn = 2012, resighted by participant 5/3/2012 -",NA
MORRCHRVA1,2009-07-06,NA,Band,CARW,2441-14044,"R/W,A",AHY,M,NA,NA,21.8,60,NA,21.11,"yearColumn = 2009, banded 7/6/2009 -",NA
MORRCHRVA1,2009-07-06,NA,Band,CACH,2590-82568,"A/Y,W",HY,U,NA,NA,9.1,60,NA,15.38,"yearColumn = 2009, banded 7/6/2009 -",NA
MORRCHRVA1,2009-07-06,NA,Band,HOWR,2590-82569,"O,W/A",AHY,M,NA,NA,10.2,50,NA,17.1,"yearColumn = 2009, banded 7/6/2009 -",NA
MORRCHRVA1,2009-07-06,NA,Band,CACH,2590-82567,"BK/A,O",HY,U,NA,NA,9,59,NA,14.96,"yearColumn = 2009, banded 7/6/2009; yearColumn = 2010, recaptured 6/30/2010; resighted by participant 10 Dec; yearColumn = 2012, resighted by participant 21May -",NA
MORRCHRVA1,2009-07-06,NA,Band,SOSP,2441-14045,"G/A,PK",AHY,M,NA,NA,21.3,64,NA,22.77,"yearColumn = 2009, banded 7/6/2009; yearColumn = 2010, recaptured 6/30/2010 -",NA
MORRCHRVA1,2009-07-06,NA,Band,CACH,2590-82570,"A/Y,BK",HY,M,NA,NA,11.5,65,NA,15.86,"yearColumn = 2009, banded 7/6/2009; yearColumn = 2013, recaptured; yearColumn = 2015, resighted 4/23/2015 -",NA
MORRCHRVA1,2010-06-30,NA,Recap,CACH,2590-82567,"BK/A,O",HY,U,NA,NA,9.1,NA,NA,NA,"yearColumn = 2009, banded 7/6/2009; yearColumn = 2010, recaptured 6/30/2010; resighted by participant 10 Dec; yearColumn = 2012, resighted by participant 21May -",NA
MORRCHRVA1,2010-06-30,NA,Band,SOSP,2341-29344,"A,BU/O",AHY,F,NA,NA,22.4,62,NA,20.65,"yearColumn = 2010, banded 6/30/10 -",NA
MORRCHRVA1,2010-06-30,NA,Band,CARW,2341-29346,"Y,Y/A",AHY,U,NA,NA,18.6,62,NA,22.29,"yearColumn = 2010, banded 6/30/10 -",NA
MORRCHRVA1,2010-06-30,NA,Band,SOSP,2341-29345,"P/P,A",HY,U,NA,NA,20.9,NA,NA,21.04,"yearColumn = 2010, banded 6/30/10 -",NA
MORRCHRVA1,2010-06-30,NA,Band,CARW,2341-29347,"A/W,W",HY,U,NA,NA,12.4,NA,NA,NA,"yearColumn = 2010, banded 6/30/10 -",NA
MORRCHRVA1,2010-06-30,NA,Band,CARW,2341-29348,"P/A,P",AHY,F,NA,NA,17.6,56.5,NA,20.27,"yearColumn = 2010, banded 6/30/10 -",NA
MORRCHRVA1,2010-06-30,NA,Band,CARW,2341-29349,"A/O,R",HY,U,NA,NA,10.7,NA,NA,18.79,"yearColumn = 2010, banded 6/30/10 -",NA
MORRCHRVA1,2010-06-30,NA,Band,CACH,2590-83006,"Y,A/P",HY,U,NA,NA,9.8,62,NA,15.85,"yearColumn = 2010, banded 6/30/10; resighted by participant 10 Dec -",NA
MORRCHRVA1,2010-06-30,NA,Band,CACH,2590-83007,"A/O,W",HY,U,NA,NA,9.6,58,NA,15.75,"yearColumn = 2010, banded 6/30/10 -",NA
MORRCHRVA1,2010-06-30,NA,Band,NOCA,2421-11444,"A,O/W",AHY,F,NA,NA,46.4,92,NA,24.21,"yearColumn = 2010, banded 6/30/10; yearColumn = 2012, resighted by participant 5/3/2012 -",NA
MORRCHRVA1,2010-06-30,NA,Recap,SOSP,2441-14045,"G/A,PK",AHY,M,NA,NA,21.9,NA,NA,NA,"yearColumn = 2009, banded 7/6/2009; yearColumn = 2010, recaptured 6/30/2010 -",NA
MORRCHRVA1,2012-06-29,NA,Band,CACH,2570-44737,"PU/A,BU",HY,U,NA,NA,10.2,62,NA,15.94,"yearColumn = 2012, captured 6/29/2012 kam -",NA
MORRCHRVA1,2013-03-15,NA,Recap,CACH,2590-82570,"A/Y,BK",HY,M,NA,NA,10.9,NA,NA,NA,"yearColumn = 2009, banded 7/6/2009; yearColumn = 2013, recaptured; yearColumn = 2015, resighted 4/23/2015 No recap date provided",NA
MORRCHRVA1,2013-05-21,NA,Band,CACH,2710-25945,"A,G/G",SY,M,NA,NA,10.1,63,NA,16.41,"yearColumn = 2013, banded -",NA
MORRCHRVA1,2013-05-21,NA,Band,CACH,2710-25946,"BK/A,PU",SY,F,NA,NA,9.1,61,NA,15.22,"yearColumn = 2013, banded -",NA
MORRCHRVA1,2013-05-21,NA,Band,CACH,2710-25947,"BK/BU,A",SY,U,NA,NA,11,63.5,NA,16.6,"yearColumn = 2013, banded -",NA
MORRCHRVA1,2013-05-21,NA,Band,CACH,2710-25948,"PU/R,A",ASY,M,NA,NA,10.1,61,NA,18.42,"yearColumn = 2013, banded -",NA
MORRCHRVA1,2013-05-21,NA,Band,CACH,2710-25951,"A,PU/PU",SY,F,NA,NA,9.3,57,NA,14.71,"yearColumn = 2013, banded -",NA
MORRCHRVA1,2013-05-21,NA,Band,CACH,2710-25944,"W/R,A",SY,M,NA,NA,10.2,63,NA,16.27,"yearColumn = 2013, banded 5/21/2013; yearColumn = 2015, Recaptured 4/23/2015 -",NA
MORRCHRVA1,2013-05-21,NA,Band,CACH,2710-25949,"R,G/A",ASY,F,NA,NA,9.5,57,NA,15.61,"yearColumn = 2013, banded; yearColumn = 2014, resighted 4/18/2014 by tech; yearColumn = 2015, 4/15/2015: found dead by participant -",NA
MORRCHRVA1,2013-05-21,NA,Band,CACH,2710-25950,"R,A/R",SY,M,NA,NA,10.3,62,NA,15.59,"yearColumn = 2013, banded.; yearColumn = 2014, resighted 4/18/2014 by tech -",NA
MORRCHRVA1,2013-05-28,NA,Band,CARW,2441-96523,"R,A/R",AHY,F,NA,NA,9.4,53,NA,19.82,"yearColumn = 2013, Banded 5/28/13 -",NA
MORRCHRVA1,2013-05-28,NA,Band,NOCA,2641-63623,"P/A,R",AHY,F,NA,NA,47.1,89,NA,24.18,"yearColumn = 2013, Banded 5/28/13 -",NA
MORRCHRVA1,2013-05-28,NA,Band,NOCA,2641-63624,"G,A/P",AHY,M,NA,NA,38.6,95,NA,23.14,"yearColumn = 2013, Banded 5/28/13 -",NA
MORRCHRVA1,2013-05-28,NA,Band,CACH,2590-82161,"P/A,G",AHY,U,NA,NA,9.6,62,NA,16.18,"yearColumn = 2013, Banded 5/28/13 -",NA
MORRCHRVA1,2013-05-28,NA,Band,CACH,2710-25954,"A,O/W",ASY,F,NA,NA,9.1,57,NA,15.2,"yearColumn = 2013, banded 5/28 -",NA
MORRCHRVA1,2013-05-28,NA,Band,CACH,2710-25955,"Y/A,W",SY,U,NA,NA,10.3,64,NA,15.86,"yearColumn = 2013, banded; yearColumn = 2014, resighted 4/25/2014 -",NA
MORRCHRVA1,2013-05-28,NA,Band,CACH,2710-25956,"PU,A/O",SY,U,NA,NA,10.3,60,NA,15.97,"yearColumn = 2013, banded; yearColumn = 2015, Resighted 4/23/2015 -",NA
MORRCHRVA1,2013-06-30,NA,Band,NOCA,2531-90228,"G,A/G",HY,U,NA,NA,42.3,88,NA,24.36,"yearColumn = 2013, banded 6/30/2013 -",NA
MORRCHRVA1,2013-06-30,NA,Band,AMRO,12329-64707,"A,W/BU",AHY,M,NA,NA,76,131,NA,36.02,"yearColumn = 2013, banded 6/30/2013 -",NA
MORRCHRVA1,2015-04-23,NA,Recap,CACH,2710-25944,"W/R,A",NA,NA,NA,NA,NA,NA,NA,NA,"yearColumn = 2013, banded 5/21/2013; yearColumn = 2015, Recaptured 4/23/2015 ",NA
MORRCHRVA1,2015-08-06,NA,Band,CACH,2750-41356,"O/A,O",AHY,U,NA,NA,9.6,59,NA,15.19,"yearColumn = 2015, Banded 8/6/15 -",NA
MORRCHRVA1,2015-08-06,NA,Band,CACH,2750-41355,"A/G,Y",AHY,U,NA,NA,10.5,64,NA,15.95,"yearColumn = 2015, Banded 8/6/15 -",NA
MORRCHRVA1,2015-08-06,NA,Band,CACH,2750-41354,"R,A/BK",HY,U,NA,NA,9.7,58,NA,15.63,"yearColumn = 2015, Banded 8/6/15 -",NA
MORRCHRVA1,2015-08-06,NA,Band,CACH,2750-41353,"A,BK/W",AHY,U,NA,NA,9.7,60,NA,15.75,"yearColumn = 2015, Banded 8/6/15 -",NA
MORRCHRVA1,2015-08-06,NA,Band,CACH,2750-41352,"A,G/BU",AHY,F,NA,NA,9.9,61,NA,15.05,"yearColumn = 2015, Banded 8/6/15 -",NA
MORRCHRVA1,2015-08-06,NA,Band,NOCA,2651-56782,"R,A/Y",HY,U,NA,NA,34.2,83,NA,21.71,"yearColumn = 2015, Banded 8/6/15 -",NA
MORRCHRVA1,2016-07-09,JLM,Band,CARW,2741-54637,"BK/A,Y",AHY,F,BP,NA,21.3,61,50,NA,Tail feather taken,08:55
MORRCHRVA1,2016-07-09,JLM,Band,CACH,2750-64355,"W/BU,A",HY,UNK,NA,0.5,8.6,58,50,NA,Tail feather taken,09:18
MORRCHRVA1,2016-07-09,JLM,Band,CACH,2750-64356,"Y/G,A",HY,UNK,NA,0.5,9.9,61,52,NA,Tail feather taken,09:18
MORRCHRVA1,2016-07-09,JLM,Band,HOWR,2750-64357,"Y,A/Y",AHY,M,CP,0,10.5,50,45,NA,"Tail feather taken, fright molt",10:07
ONTAHOUDC1,2001-05-02,NA,Band,NOCA,1751-51979,"P,P/A",AHY,F,NA,NA,44,93,95,23.22,"yearColumn = 2001, banded 2 May; yearColumn = 2003, Recapture 20 May -",NA
ONTAHOUDC1,2001-05-15,NA,Band,GRCA,1751-51953,"W,O/A",AHY,M,NA,NA,34.3,94,102,28.21,"yearColumn = 2001, banded 15 May -",NA
ONTAHOUDC1,2001-05-15,NA,Band,CACH,2250-24026,"A,Y/Y",AHY,M,NA,NA,9.6,60,51,16.15,"yearColumn = 2001, banded 15 May -",NA
ONTAHOUDC1,2001-05-15,NA,Band,SOSP,1141-05570,"A,P/Y",AHY,M,NA,NA,20.3,65,67,21,"yearColumn = 2001, banded 15 May -",NA
ONTAHOUDC1,2001-05-15,NA,Band,NOCA,1751-51952,"BU,A/Y",AHY,M,NA,NA,38,90,96,24.43,"yearColumn = 2001, banded 15 May -",NA
ONTAHOUDC1,2001-05-15,NA,Band,GRCA,1751-51951,"Y,A/R",ASY,M,NA,NA,34.7,94.5,97.5,25.33,"yearColumn = 2001, banded 15 May -",NA
ONTAHOUDC1,2001-05-15,NA,Band,NOCA,1751-51949,"O/W,A",AHY,M,NA,NA,39.5,93,101,25.06,"yearColumn = 2001, banded 15 May -",NA
ONTAHOUDC1,2001-05-15,NA,Band,GRCA,1751-51950,"G,G/A",AHY,F,NA,NA,45.6,89,90,28.48,"yearColumn = 2001, banded 15 MAy -",NA
ONTAHOUDC1,2003-05-20,NA,Band,AMRO,1152-87515,"A/G,P",AHY,M,NA,NA,74.3,136,NA,33.7,"yearColumn = 2003, Banded 20 May -",NA
ONTAHOUDC1,2003-05-20,NA,Band,GRCA,1801-09576,"A,O/BU",AHY,M,NA,NA,33.8,90.5,NA,27.8,"yearColumn = 2003, Banded 20 May -",NA
ONTAHOUDC1,2003-05-20,NA,Recap,NOCA,1751-51979,"P,P/A",AHY,F,NA,NA,37.8,NA,NA,NA,"yearColumn = 2001, banded 2 May; yearColumn = 2003, Recapture 20 May -",NA
ONTAHOUDC1,2003-06-09,NA,Band,GRCA,1801-09596,"R,A/BK",AHY,M,NA,NA,30.5,91.5,NA,28.3,"yearColumn = 2003, Banded 9 June -",NA
ONTAHOUDC1,2003-06-10,NA,Band,GRCA,1801-09599,"Y,A/Y",AHY,F,NA,NA,34.8,88,NA,28.3,"yearColumn = 2003, Banded 10 June -",NA
ONTAHOUDC1,2003-06-13,NA,Band,NOMO,1152-87503,"BK,R/A",AHY,F,NA,NA,47.9,108,NA,31.9,"yearColumn = 2003, Banded 13 June -",NA
ONTAHOUDC1,2003-06-13,NA,Band,GRCA,1801-77957,"A,G/Y",AHY,M,NA,NA,33.1,96,NA,29.1,"yearColumn = 2003, Banded 13 June; yearColumn = 2004, Resighted 28 May; yearColumn = 2004, banded -",NA
ONTAHOUDC1,2003-06-20,NA,Band,GRCA,1801-77970,"W,A/R",AHY,F,NA,NA,36.5,88,NA,27.7,"yearColumn = 2003, Banded 20 June; yearColumn = 2004, resight 23 June -",NA
ONTAHOUDC1,2004-05-18,NA,Band,NOMO,962-47857,"P/A,W",AHY,M,NA,NA,48.4,110.5,NA,34.02,"yearColumn = 2004, banded -",NA
ONTAHOUDC1,2004-06-06,NA,Band,AMRO,962-47884,"Y/R,A",AHY,F,NA,NA,73.9,128,NA,31.87,"yearColumn = 2004, according to BBL, banded 6/6/2004; yearColumn = 2012, recaptured 7/11/2012 -",NA
ONTAHOUDC1,2004-06-09,NA,Band,NOCA,1951-20901,"G,BU/A",AHY,U,NA,NA,42.1,86,NA,24.66,"yearColumn = 2004, banded -",NA
ONTAHOUDC1,2004-07-16,NA,Band,NOCA,1951-20953,"O,A/O",AHY,U,NA,NA,40.7,88,NA,24.5,"yearColumn = 2004, banded -",NA
ONTAHOUDC1,2004-07-16,NA,Band,GRCA,1951-20954,"Y,P/A",AHY,U,NA,NA,36,93,NA,28.33,"yearColumn = 2004, banded -",NA
ONTAHOUDC1,2005-05-11,NA,Band,GRCA,1951-41105,"A/W,W",AHY,M,NA,NA,34.1,90,NA,26.75,"yearColumn = 2005, banded 11 May -",NA
ONTAHOUDC1,2005-05-11,NA,Band,GRCA,1951-41106,"BK/O,A",SY,U,NA,NA,34.8,86,NA,26.42,"yearColumn = 2005, banded 11 May -",NA
ONTAHOUDC1,2008-07-11,NA,Band,SOSP,2341-30137,"A,PK/G",AHY,M,NA,NA,20.1,70,NA,21.03,"yearColumn = 2008, banded 11 July -",NA
ONTAHOUDC1,2008-07-11,NA,Band,NOCA,2301-56880,"A,-",AHY,F,NA,NA,47.4,94,NA,23.82,"yearColumn = 2008, banded 11 July -",NA
ONTAHOUDC1,2008-07-11,NA,Band,AMRO,1232-87931,"A/P,P",AHY,F,NA,NA,70,118.5,NA,31.5,"yearColumn = 2008, banded 11 July -",NA
ONTAHOUDC1,2008-07-11,NA,Band,AMRO,1232-87932,"W/A,W",HY,U,NA,NA,50.2,80,NA,31.78,"yearColumn = 2008, banded 11 July -",NA
ONTAHOUDC1,2008-07-11,NA,Band,SOSP,2341-30138,"A,R/PK",HY,U,NA,NA,17.8,61,NA,19.03,"yearColumn = 2008, banded 11 July -",NA
ONTAHOUDC1,2008-07-11,NA,Band,AMRO,1232-87933,"P/A,BK",AHY,F,NA,NA,68.1,120,NA,32.12,"yearColumn = 2008, banded 11 July -",NA
ONTAHOUDC1,2008-07-11,NA,Band,GRCA,2301-56881,"BU/A,W/O",HY,U,NA,NA,35.9,88.5,NA,27.72,"yearColumn = 2008, banded 11 July -",NA
ONTAHOUDC1,2009-06-26,NA,Band,AMRO,1292-64328,"W/O,A",AHY,F,NA,NA,70,123,NA,32.89,"yearColumn = 2009, Banded  6/26/2009 -",NA
ONTAHOUDC1,2009-06-26,NA,Band,SOSP,2441-14129,"G,P/A",AHY,F,NA,NA,22.2,65,NA,22.32,"yearColumn = 2009, Banded  6/26/2009 -",NA
ONTAHOUDC1,2009-06-26,NA,Band,SOSP,2441-14130,"A/R,R",AHY,F,NA,NA,20.1,61,NA,21.9,"yearColumn = 2009, banded  6/26/2009 -",NA
ONTAHOUDC1,2009-06-26,NA,Band,NOCA,2411-37367,"A/R,G",AHY,M,NA,NA,38.3,91,NA,23.68,"yearColumn = 2009, Banded  6/26/2009 -",NA
ONTAHOUDC1,2009-06-26,NA,Band,GRCA,2411-37368,"A/O,BK",AHY,F,NA,NA,33.9,86,NA,27.77,"yearColumn = 2009, Banded  6/26/2009 -",NA
ONTAHOUDC1,2009-06-26,NA,Band,NOCA,2411-37369,"A,G/O",AHY,F,NA,NA,40.9,93,NA,23.12,"yearColumn = 2009, Banded  6/26/2009 -",NA
ONTAHOUDC1,2009-06-26,NA,Band,GRCA,2411-37371,"BU,BU/A",AHY,F,NA,NA,33.5,89,NA,25.92,"yearColumn = 2009, Banded  6/26/2009 -",NA
ONTAHOUDC1,2009-06-26,NA,Band,SOSP,2441-14128,"LB/A,Y",AHY,M,NA,NA,21.7,70.5,NA,22.17,"yearColumn = 2009, Banded 6/26/2009; yearColumn = 2010, recaptured 7/20/10 -",NA
ONTAHOUDC1,2009-06-26,NA,Band,GRCA,2411-37370,"A/R,W",AHY,M,NA,NA,33.9,89,NA,28.74,"yearColumn = 2009, Banded  6/26/2009; yearColumn = 2010, recaptured 7/20/10 -",NA
ONTAHOUDC1,2010-07-20,NA,Band,SOSP,2441-96440,"A,R/G",AHY,M,NA,NA,21.1,66,NA,21.43,"yearColumn = 2010, banded 7/20/10 -",NA
ONTAHOUDC1,2010-07-20,NA,Band,NOCA,2421-11786,"Y/BK,A",AHY,M,NA,NA,43.3,97,NA,24.08,"yearColumn = 2010, banded 7/20/10 -",NA
ONTAHOUDC1,2010-07-20,NA,Band,SOSP,2441-96441,"A/BK,BU",AHY,F,NA,NA,21.2,63,NA,21.84,"yearColumn = 2010, banded 7/20/10 -",NA
ONTAHOUDC1,2010-07-20,NA,Band,SOSP,2441-96442,"A,W/PU",AHY,F,NA,NA,23.4,63,NA,20.6,"yearColumn = 2010, banded 7/20/10 -",NA
ONTAHOUDC1,2010-07-20,NA,Band,GRCA,2421-11787,"BU,W/A",HY,U,NA,NA,33.2,85.5,NA,27.59,"yearColumn = 2010, banded 7/20/10 -",NA
ONTAHOUDC1,2010-07-20,NA,Band,AMRO,1272-43131,"PK,Y/A",HY,U,NA,NA,68.3,125.5,NA,32.45,"yearColumn = 2010, banded 7/20/10 -",NA
ONTAHOUDC1,2010-07-20,NA,Recap,SOSP,2441-14128,"LB/A,Y",AHY,M,NA,NA,22.6,NA,NA,NA,"yearColumn = 2009, Banded 6/26/2009; yearColumn = 2010, recaptured 7/20/10 -",NA
ONTAHOUDC1,2010-07-20,NA,Recap,GRCA,2411-37370,"A/R,W",AHY,M,NA,NA,34.1,NA,NA,NA,"yearColumn = 2009, Banded  6/26/2009; yearColumn = 2010, recaptured 7/20/10 -",NA
ONTAHOUDC1,2012-07-11,NA,Band,GRCA,2561-44928,"Y/A,PU",AHY,M,NA,NA,32.6,90,NA,25.79,"yearColumn = 2012, captured 7/11/2012 -",NA
ONTAHOUDC1,2012-07-11,NA,Band,SOSP,2341-30380,"Y/A,Y",HY,U,NA,NA,20.8,63,NA,20.7,"yearColumn = 2012, captured 7/11/2012 -",NA
ONTAHOUDC1,2012-07-11,NA,Band,NOCA,2561-56607,"Y/A,G/Y",AHY,M,NA,NA,41,92,NA,23.27,"yearColumn = 2012, captured 7/11/2012 -",NA
ONTAHOUDC1,2012-07-11,NA,Band,AMRO,1272-42415,"A,-",AHY,F,NA,NA,61.6,126,NA,31.06,"yearColumn = 2012, captured 7/11/2012 -",NA
ONTAHOUDC1,2012-07-11,NA,Band,AMRO,1272-42416,"A/G,W",AHY,M,NA,NA,78.1,125,NA,33.68,"yearColumn = 2012, captured 7/11/2012 -",NA
ONTAHOUDC1,2012-07-11,NA,Band,SOSP,2341-30381,"BU,BU/A",AHY,F,NA,NA,21.7,62,NA,19.98,"yearColumn = 2012, captured 7/11/2012 -",NA
ONTAHOUDC1,2012-07-11,NA,Band,SOSP,2341-30382,"Y,A/PK",AHY,M,NA,NA,15.7,68,NA,20.55,"yearColumn = 2012, capturred 7/11/2012 -",NA
ONTAHOUDC1,2012-07-11,NA,Band,GRCA,2561-44929,"BK,A/BK",AHY,M,NA,NA,34.3,94,NA,26.72,"yearColumn = 2012, captured 7/11/2012; yearColumn = 2014, resighted by BD on June 26; yearColumn = 2015, Recaptured 6/16/2015 -",NA
ONTAHOUDC1,2012-07-11,NA,Band,NOMO,1272-42414,"O,A/Y",AHY,M,NA,NA,49.1,110,NA,32.53,"yearColumn = 2012, captured 7/11/2012; yearColumn = 2013, recaptured 6/8/2013 -",NA
ONTAHOUDC1,2012-07-11,NA,Recap,AMRO,962-47884,"Y/R,A",NA,NA,NA,NA,NA,NA,NA,NA,"yearColumn = 2004, according to BBL, banded 6/6/2004; yearColumn = 2012, recaptured 7/11/2012 ",NA
ONTAHOUDC1,2013-06-08,NA,Band,NOMO,1342-74094,"A,PU/BK",AHY,F,NA,NA,52.4,109,NA,32.36,"yearColumn = 2013, Banded 6/8/2013 -",NA
ONTAHOUDC1,2013-06-08,NA,Band,NOMO,1342-74093,"A,O/W",HY,U,NA,NA,42.7,106,NA,31.59,"yearColumn = 2013, Banded 6/8/2013 -",NA
